country,iso3,region,analyzed_in_report,chosen_eight,is_focal_subject,document_type,document_maturity,primary_document_title,primary_document_url,source_notes,gdp_per_capita_usd,population_millions,hdi,gini,ai_readiness_index,renewable_electricity_share,jobs_workforce_training_quantified,jobs_specialist_pipeline,jobs_union_or_social_dialogue,jobs_distributional_monitoring,jobs_productivity_target_quantified,jobs_composite,dem_civic_participation,dem_multi_watchdog_oversight,dem_civil_society_in_ethics_body,dem_transparency_register,dem_election_or_disinfo_instruments,democracy_composite,coh_structural_cohesion_pillar,coh_algorithmic_fairness_toolkit,coh_linguistic_substrate,coh_territorial_distribution,coh_digital_inclusion_cohorts,cohesion_composite,eth_sovereign_llm,eth_open_source_commitment,eth_ai_act_or_equivalent,eth_ethics_body_operational,eth_human_development_alignment,ethics_hd_composite
Italy,ITA,Europe,true,false,false,AI Strategy,cabinet-approved,"Italian Strategy for AI 2024-2026, June 2024",https://www.agid.gov.it/sites/agid/files/2024-07/Strategia_italiana_per_l_Intelligenza_artificiale_2024-2026.pdf,AGID issuing; Foundation under PM Office planned but not yet stood up. Mezzogiorno regional focus is the distinctive cohesion vector.,38000,59.0,0.906,33.0,63,40.0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,2,1,1,2
Japan,JPN,APAC,true,false,false,Hybrid,operational,"AI Strategy 2022 and AI Basic Plan (Dec 2025, under Act No. 53/2025)",https://www8.cao.go.jp/cstp/ai/aistratagy2022en.pdf,Only country in the corpus with a dedicated AI Act statute (Act No. 53/2025). AI Strategy 2022 carries the quantified per-cohort education targets; AI Basic Plan operationalises them.,33000,125.0,0.92,33.0,78,25.0,2,2,1,1,0,2,1,1,1,1,0,1,2,1,1,1,2,2,1,1,2,2,2,3
Kenya,KEN,Africa,true,false,false,AI Strategy,cabinet-approved,Kenya AI Strategy 2025-2030,https://ict.go.ke/sites/default/files/2025-03/Kenya%20AI%20Strategy%202025%20-%202030.pdf,Strong multi-stakeholder consultation (town halls; PWD inclusion KPIs with United Disabled Persons of Kenya as convenor). Africa's AI hub ambition.,2400,55.0,0.601,41.0,52,80.0,1,1,0,2,1,2,2,1,2,1,0,2,2,1,1,1,2,2,0,0,1,1,2,1
New Zealand,NZL,APAC,true,true,false,AI Strategy,operational,"New Zealand AI Strategy, July 2025",https://www.mbie.govt.nz/assets/new-zealands-strategy-for-artificial-intelligence.pdf,Paired with Australia in the v2 report's chosen-eight convention. Treaty of Waitangi embedded; OECD AI Principles adopted in explicit rejection of an AI-Act-equivalent. Light-touch principles-based.,48000,5.2,0.939,33.0,70,80.0,1,1,0,1,1,1,1,0,1,1,0,1,2,1,0,1,1,2,0,1,1,1,2,2
Nigeria,NGA,Africa,true,false,false,AI Strategy,cabinet-approved,"Nigeria National AI Strategy, 19 September 2025",https://fmcide.gov.ng/initiative/nais/,3MTT (3 million tech talent in 4 years) is the corpus's largest quantified workforce target. Decoloniality named as ethical principle; brain-drain (japa) flagged candidly.,2200,223.0,0.548,35.0,50,25.0,2,1,0,2,1,2,1,1,1,1,0,1,2,1,1,1,2,2,0,0,1,1,2,1
Qatar,QAT,MENA,true,false,false,Digital Strategy,not-AI-specific,Qatar Digital Agenda 2030,https://www.mcit.gov.qa/en/digital-agenda-2030/,"Not-AI-specific document (Digital Agenda 2030 with an AI section). Top-down royal-court coordination. Most scores reflect document scope, not country potential.",71000,2.7,0.875,,52,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Singapore,SGP,APAC,true,false,false,AI Strategy,operational,"National AI Strategy 2.0 (NAIS 2.0), December 2023",https://www.smartnation.gov.sg/initiatives/national-ai-strategy/,Source of the AI Verify open-source toolkit cited as scope-exception in the v2 report (Recommendation 3). AI Verify Foundation has 90+ corporate members.,85000,5.9,0.949,37.0,85,5.0,2,2,1,1,1,2,1,1,2,2,1,2,1,2,0,0,1,1,0,1,1,2,1,2
South Africa,ZAF,Africa,true,true,false,AI Strategy,discussion-draft,"South Africa AI Planning (discussion draft), October 2023",https://www.dcdt.gov.za/images/phocadownload/AI_Government_Summit/National_AI_Government_Summit_Discussion_Document.pdf,"Discussion-draft status (October 2023), not yet binding. AIISA targets 11 AI Hubs/Centres at universities by 2025 (distributed model). NDP 2030 anchor.",6700,60.0,0.717,63.0,52,12.0,2,2,1,1,1,2,1,1,1,1,0,1,1,0,1,2,2,2,1,0,1,1,2,2
Spain,ESP,Europe,true,false,false,AI Strategy,operational,Estrategia de Inteligencia Artificial 2024,https://digital.gob.es/content/dam/portal-mtdfp/DigitalizacionIA/Estrategia_IA_2024.pdf,Tabla 6 per-Palanca budget granularity is the gold standard alongside Brazil PBIA. ALIA state-funded LLM family in castellano plus four co-official languages plus Ibéricos PT-ES subfamily proposal.,31000,48.0,0.905,33.0,70,50.0,1,1,1,1,1,2,1,1,1,1,0,1,1,1,2,1,1,2,2,1,2,2,1,3
Sweden,SWE,Europe,true,false,false,AI Strategy,operational,"Sweden AI Strategy and Action Plan annex, 2026",https://www.government.se/contentassets/4e6b2d34f81048d688c35c831065395f/swedens-ai-strategy.pdf,ATR (Algorithmic Transparency Register) named. Nordic worker-voice strength.,58000,10.4,0.945,30.0,73,70.0,1,1,2,1,0,2,1,1,1,2,0,2,1,1,0,0,1,1,0,0,2,1,1,1
UAE,ARE,MENA,true,false,false,AI Strategy,operational,"UAE National Strategy for AI 2031, October 2018",https://ai.gov.ae/wp-content/uploads/2021/07/UAE-National-Strategy-for-Artificial-Intelligence-2031.pdf,First country globally with a Minister of AI (HE Omar Sultan Al Olama). Falcon (TII) operational sovereign LLM with open-source release. AI Centennial 2071 long-horizon framing.,47000,9.4,0.937,32.0,80,3.0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,2,1,1,1,1,2
United Kingdom,GBR,Europe,true,false,false,AI Strategy,operational,AI Opportunities Action Plan (Jan 2025) and AI Playbook (Feb 2025),https://www.gov.uk/government/publications/ai-opportunities-action-plan,"Two-document stack: AP (50 recommendations, all accepted by government per CP 1242) plus Playbook (5-tier civil-servant segmentation). AISI first AI Safety Institute globally. ATRS mandatory in-scope for public sector. Pro-innovation principles plus sector regulators (NOT EU AI Act path).",46000,68.0,0.929,36.0,83,45.0,2,1,0,1,2,2,2,1,1,2,0,2,1,1,1,1,1,2,1,2,1,2,1,2
United States,USA,Americas,true,true,false,AI Strategy,cabinet-approved,"America's AI Action Plan, Winning the Race, July 2025",https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02172.pdf,Executive Order 14179 anchored; CAIOC cross-agency body; partisan single-administration framing. DEI references actively removed from NIST AI RMF and federal procurement guidance. Open-source/open-weight AI explicitly framed as strategic priority. URL points to Executive Order 14179 (the legal anchor); the AI Action Plan PDF itself is on whitehouse.gov but the canonical URL needs verification.,76000,335.0,0.927,41.0,85,22.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,2,1,0,0,2
